Module                  Size  Used by
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_MASQUERADE          16384  2
bridge                421888  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              65536  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 61440  1 xt_set
nft_chain_nat          12288  5
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
vxlan                 159744  0
ip6_udp_tunnel         16384  1 vxlan
udp_tunnel             32768  1 vxlan
overlay               217088  0
qrtr                   53248  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
ip6t_REJECT            12288  1
nf_reject_ipv6         20480  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         12288  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          20480  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  8
xt_tcpudp              16384  60
xt_conntrack           12288  18
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  125
nf_tables             385024  685 nft_compat,nft_chain_nat,nft_limit
snd_hda_codec_hdmi     98304  1
binfmt_misc            24576  1
nls_iso8859_1          12288  1
intel_rapl_msr         20480  0
intel_rapl_common      53248  1 intel_rapl_msr
snd_hda_codec_realtek   212992  1
i915                 4702208  31
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
nouveau              3010560  1
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
cmdlinepart            16384  0
snd_hda_intel          61440  4
spi_nor               163840  0
snd_intel_dspcfg       45056  1 snd_hda_intel
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
x86_pkg_temp_thermal    20480  0
mtd                    98304  3 spi_nor,cmdlinepart
intel_powerclamp       24576  0
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
mxm_wmi                12288  1 nouveau
snd_hda_core          147456  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
coretemp               24576  0
drm_gpuvm              45056  1 nouveau
polyval_clmulni        12288  0
snd_hwdep              20480  1 snd_hda_codec
gpu_sched              61440  1 nouveau
polyval_generic        12288  1 polyval_clmulni
drm_buddy              24576  1 i915
ghash_clmulni_intel    16384  0
drm_ttm_helper         16384  1 nouveau
uvcvideo              143360  0
btusb                  73728  0
sha256_ssse3           32768  0
snd_pcm               192512  5 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
btrtl                  32768  1 btusb
sha1_ssse3             32768  0
videobuf2_vmalloc      20480  1 uvcvideo
btintel                69632  1 btusb
uvc                    12288  1 uvcvideo
aesni_intel           122880  4
